id,jozz,sura_no,page,aya_no
319,3,3,53,26
320,3,3,53,27
321,3,3,53,28
322,3,3,53,29
323,3,3,54,30
324,3,3,54,31
325,3,3,54,32
326,3,3,54,33
327,3,3,54,34
328,3,3,54,35
329,3,3,54,36
330,3,3,54,37
331,3,3,55,38
332,3,3,55,39
333,3,3,55,40
334,3,3,55,41
335,3,3,55,42
336,3,3,55,43
337,3,3,55,44
338,3,3,55,45
339,3,3,56,46
340,3,3,56,47
341,3,3,56,48
342,3,3,56,49
343,3,3,56,50
344,3,3,56,51
345,3,3,56,52
346,3,3,57,53
347,3,3,57,54
348,3,3,57,55
349,3,3,57,56
350,3,3,57,57
351,3,3,57,58
352,3,3,57,59
353,3,3,57,60
354,3,3,57,61
355,3,3,58,62
356,3,3,58,63
357,3,3,58,64
358,3,3,58,65
359,3,3,58,66
360,3,3,58,67
361,3,3,58,68
362,3,3,58,69
363,3,3,58,70
364,3,3,59,71
365,3,3,59,72
366,3,3,59,73
367,3,3,59,74
368,3,3,59,75
369,3,3,59,76
370,3,3,59,77
371,3,3,60,78
372,3,3,60,79
373,3,3,60,80
374,3,3,60,81
375,3,3,60,82
376,3,3,60,83
377,3,3,61,84
378,3,3,61,85
379,3,3,61,86
380,3,3,61,87
381,3,3,61,88
382,3,3,61,89
383,3,3,61,90
384,3,3,61,91
385,4,3,62,92
386,4,3,62,93
387,4,3,62,94
388,4,3,62,95
389,4,3,62,96
390,4,3,62,97
391,4,3,62,98
392,4,3,62,99
393,4,3,62,100
394,4,3,63,101
395,4,3,63,102
396,4,3,63,103
397,4,3,63,104
398,4,3,63,105
399,4,3,63,106
400,4,3,63,107
401,4,3,63,108
402,4,3,64,109
403,4,3,64,110
404,4,3,64,111
405,4,3,64,112
406,4,3,64,113
407,4,3,64,114
408,4,3,64,115
409,4,3,65,116
410,4,3,65,117
411,4,3,65,118
412,4,3,65,119
413,4,3,65,120
414,4,3,65,121
415,4,3,66,122
416,4,3,66,123
417,4,3,66,124
418,4,3,66,125
419,4,3,66,126
420,4,3,66,127
421,4,3,66,128
422,4,3,66,129
423,4,3,66,130
424,4,3,66,131
425,4,3,66,132
426,4,3,67,133
427,4,3,67,134
428,4,3,67,135
429,4,3,67,136
430,4,3,67,137
431,4,3,67,138
432,4,3,67,139
433,4,3,67,140
434,4,3,68,141
435,4,3,68,142
436,4,3,68,143
437,4,3,68,144
438,4,3,68,145
439,4,3,68,146
440,4,3,68,147
441,4,3,68,148
442,4,3,69,149
443,4,3,69,150
444,4,3,69,151
445,4,3,69,152
446,4,3,69,153
447,4,3,70,154
448,4,3,70,155
449,4,3,70,156
450,4,3,70,157
451,4,3,71,158
452,4,3,71,159
453,4,3,71,160
454,4,3,71,161
455,4,3,71,162
456,4,3,71,163
457,4,3,71,164
458,4,3,71,165
459,4,3,72,166
460,4,3,72,167
461,4,3,72,168
462,4,3,72,169
463,4,3,72,170
464,4,3,72,171
465,4,3,72,172
466,4,3,72,173
467,4,3,73,174
468,4,3,73,175
469,4,3,73,176
470,4,3,73,177
471,4,3,73,178
472,4,3,73,179
473,4,3,73,180
474,4,3,74,181
475,4,3,74,182
476,4,3,74,183
477,4,3,74,184
478,4,3,74,185
479,4,3,74,186
480,4,3,75,187
481,4,3,75,188
482,4,3,75,189
483,4,3,75,190
484,4,3,75,191
485,4,3,75,192
486,4,3,75,193
487,4,3,75,194
488,4,3,76,195
489,4,3,76,196
490,4,3,76,197
491,4,3,76,198
492,4,3,76,199
493,4,3,76,200
494,4,4,77,1
495,4,4,77,2
496,4,4,77,3
497,4,4,77,4
498,4,4,77,5
499,4,4,77,6
500,4,4,78,7
501,4,4,78,8
502,4,4,78,9
503,4,4,78,10
504,4,4,78,11
505,4,4,79,12
506,4,4,79,13
507,4,4,79,14
508,4,4,80,15
509,4,4,80,16
510,4,4,80,17
511,4,4,80,18
512,4,4,80,19
513,4,4,81,20
514,4,4,81,21
515,4,4,81,22
516,4,4,81,23
517,5,4,82,24
518,5,4,82,25
519,5,4,82,26
520,5,4,83,27
521,5,4,83,28
522,5,4,83,29
523,5,4,83,30
524,5,4,83,31
525,5,4,83,32
526,5,4,83,33
527,5,4,84,34
528,5,4,84,35
529,5,4,84,36
530,5,4,84,37
531,5,4,85,38
532,5,4,85,39
533,5,4,85,40
534,5,4,85,41
535,5,4,85,42
536,5,4,85,43
537,5,4,85,44
538,5,4,86,45
539,5,4,86,46
540,5,4,86,47
541,5,4,86,48
542,5,4,86,49
543,5,4,86,50
544,5,4,86,51
545,5,4,87,52
546,5,4,87,53
547,5,4,87,54
548,5,4,87,55
549,5,4,87,56
550,5,4,87,57
551,5,4,87,58
552,5,4,87,59
553,5,4,88,60
554,5,4,88,61
555,5,4,88,62
556,5,4,88,63
557,5,4,88,64
558,5,4,88,65
559,5,4,89,66
560,5,4,89,67
561,5,4,89,68
562,5,4,89,69
563,5,4,89,70
564,5,4,89,71
565,5,4,89,72
566,5,4,89,73
567,5,4,89,74
568,5,4,90,75
569,5,4,90,76
570,5,4,90,77
571,5,4,90,78
572,5,4,90,79
573,5,4,91,80
574,5,4,91,81
575,5,4,91,82
576,5,4,91,83
577,5,4,91,84
578,5,4,91,85
579,5,4,91,86
580,5,4,92,87
581,5,4,92,88
582,5,4,92,89
583,5,4,92,90
584,5,4,92,91
585,5,4,93,92
586,5,4,93,93
587,5,4,93,94
588,5,4,94,95
589,5,4,94,96
590,5,4,94,97
591,5,4,94,98
592,5,4,94,99
593,5,4,94,100
594,5,4,94,101
595,5,4,95,102
596,5,4,95,103
597,5,4,95,104
598,5,4,95,105
599,5,4,96,106
600,5,4,96,107
601,5,4,96,108
602,5,4,96,109
603,5,4,96,110
604,5,4,96,111
605,5,4,96,112
606,5,4,96,113
607,5,4,97,114
608,5,4,97,115
609,5,4,97,116
610,5,4,97,117
611,5,4,97,118
612,5,4,97,119
613,5,4,97,120
614,5,4,97,121
615,5,4,98,122
616,5,4,98,123
617,5,4,98,124
618,5,4,98,125
619,5,4,98,126
620,5,4,98,127
621,5,4,99,128
622,5,4,99,129
623,5,4,99,130
624,5,4,99,131
625,5,4,99,132
626,5,4,99,133
627,5,4,99,134
628,5,4,100,135
629,5,4,100,136
630,5,4,100,137
631,5,4,100,138
632,5,4,100,139
633,5,4,100,140
634,5,4,101,141
635,5,4,101,142
636,5,4,101,143
637,5,4,101,144
638,5,4,101,145
639,5,4,101,146
640,5,4,101,147
641,6,4,102,148
642,6,4,102,149
643,6,4,102,150
644,6,4,102,151
645,6,4,102,152
646,6,4,102,153
647,6,4,102,154
